DOMESTIC/REGIONAL AIRLINES,,,,,,,,,,,,,,,,,,,,
INDUSTRY TOTALS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note:,"Industry totals, and some city pairs shown on the 'Top Routes' worksheet, include carriage",,,,,,,,,,,,,,,,,,,
,by Australian international airlines operating between Australian airports as part of an international flight.,,,,,,,,,,,,,,,,,,,
,"As a result, these statistics will not match the sum of the domestic and regional airline sectors shown in",,,,,,,,,,,,,,,,,,,
,other spreadsheets available for download from this web site.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Monthly totals,,,,,,,,,,,,Moving annual totals,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
City Pair Route,,Year,Month,Revenue,Aircraft,Rev Pax,Distance,RPKs,ASKs,Seats,,Revenue,Aircraft,Rev Pax,,RPKs,ASKs,Seats,,City Pair Route
Industry Domestic/Regional,,,,Passengers,Trips,LF %,GC (klm),,,,,Passengers,Trips,LF %,,,,,,
ABX,SYD,2007,7,"15,144",500,73.3,452,"6,845,088","9,336,060","20,655",,"157,419","5,456",70.3,,"71,153,388","101,206,416","223,908",,Albury - Sydney
ABX,SYD,2007,8,"14,993",488,74.3,452,"6,776,836","9,119,100","20,175",,"158,821","5,473",70.7,,"71,787,092","101,492,532","224,541",,Albury - Sydney
ABX,SYD,2007,9,"14,587",451,77.9,452,"6,593,324","8,459,632","18,716",,"159,521","5,461",71.2,,"72,103,492","101,199,184","223,892",,Albury - Sydney
ABX,SYD,2007,10,"14,620",477,73.8,452,"6,608,240","8,948,696","19,798",,"160,893","5,471",71.7,,"72,723,636","101,395,804","224,327",,Albury - Sydney
ABX,SYD,2007,11,"14,187",464,73.9,452,"6,412,524","8,681,112","19,206",,"161,567","5,478",71.8,,"73,028,284","101,660,224","224,912",,Albury - Sydney
ABX,SYD,2007,12,"12,912",429,72.6,452,"5,836,224","8,041,984","17,792",,"162,185","5,477",72.0,,"73,307,620","101,795,372","225,211",,Albury - Sydney
ABX,SYD,2008,1,"12,706",421,77.6,452,"5,743,112","7,401,952","16,376",,"164,546","5,538",72.4,,"74,374,792","102,719,260","227,255",,Albury - Sydney
ABX,SYD,2008,2,"16,591",547,63.9,452,"7,499,132","11,728,496","25,948",,"169,519","5,655",71.9,,"76,622,588","106,541,824","235,712",,Albury - Sydney
ABX,SYD,2008,3,"18,448",584,64.5,452,"8,338,496","12,922,228","28,589",,"173,630","5,755",71.0,,"78,480,760","110,484,168","244,434",,Albury - Sydney
ABX,SYD,2008,4,"18,992",566,68.7,452,"8,584,384","12,500,060","27,655",,"180,087","5,878",70.9,,"81,399,324","114,858,172","254,111",,Albury - Sydney
ABX,SYD,2008,5,"18,650",578,67.6,452,"8,429,800","12,461,188","27,569",,"185,424","5,968",70.9,,"83,811,648","118,268,964","261,657",,Albury - Sydney
ABX,SYD,2008,6,"18,236",557,67.7,452,"8,242,672","12,167,388","26,919",,"190,066","6,062",70.6,,"85,909,832","121,767,896","269,398",,Albury - Sydney
ABX,SYD,2008,7,"21,085",587,74.2,452,"9,530,420","12,849,004","28,427",,"196,007","6,149",70.7,,"88,595,164","125,280,840","277,170",,Albury - Sydney
ABX,SYD,2008,8,"21,139",592,73.5,452,"9,554,828","12,996,808","28,754",,"202,153","6,253",70.7,,"91,373,156","129,158,548","285,749",,Albury - Sydney
ABX,SYD,2008,9,"19,945",571,69.8,452,"9,015,140","12,907,764","28,557",,"207,511","6,373",70.2,,"93,794,972","133,606,680","295,590",,Albury - Sydney
ABX,SYD,2008,10,"20,945",582,67.6,452,"9,467,140","14,000,700","30,975",,"213,836","6,478",69.7,,"96,653,872","138,658,684","306,767",,Albury - Sydney
